               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.037823,            0.014979,           0.0039178,             0.85731,             0.66566,             0.80398,             0.34554,            0.034517,             0.01019,           0.0085144,            0.005875,            0.005875,            0.005875
                 127,            0.041761,            0.014496,           0.0063538,             0.72634,             0.76809,             0.79443,             0.34706,            0.032243,           0.0098467,           0.0083649,            0.005842,            0.005842,            0.005842
                 128,            0.039749,            0.014695,           0.0029548,             0.76455,             0.73959,              0.8235,             0.37124,            0.033094,           0.0097659,           0.0084381,            0.005809,            0.005809,            0.005809
                 129,            0.040051,            0.014286,           0.0045316,             0.89968,             0.68192,             0.82718,              0.4045,            0.030006,           0.0098791,           0.0073486,            0.005776,            0.005776,            0.005776
                 130,            0.036718,            0.013975,           0.0036442,             0.89334,              0.6725,             0.82429,             0.35828,            0.031814,           0.0097399,           0.0074646,            0.005743,            0.005743,            0.005743
                 131,            0.035953,            0.013544,           0.0037554,             0.84316,             0.60833,              0.7455,             0.34916,             0.03167,           0.0098271,           0.0074051,             0.00571,             0.00571,             0.00571
                 132,            0.038134,            0.014256,           0.0027877,             0.77763,             0.62225,             0.75327,             0.36033,            0.033584,           0.0098729,           0.0076492,            0.005677,            0.005677,            0.005677
                 133,            0.041142,             0.01628,            0.004969,              0.7325,              0.7375,             0.77183,             0.36587,            0.032263,           0.0094912,            0.007341,            0.005644,            0.005644,            0.005644
                 134,             0.04086,            0.013794,           0.0057852,             0.73183,              0.7375,             0.76889,             0.38333,            0.032682,           0.0095789,           0.0070633,            0.005611,            0.005611,            0.005611
                 135,            0.037677,            0.017219,           0.0059597,             0.79687,             0.59166,              0.7192,             0.36034,            0.033522,            0.010662,           0.0068298,            0.005578,            0.005578,            0.005578
                 136,            0.036566,            0.014306,           0.0044657,             0.85966,             0.54098,             0.70738,             0.34729,            0.035051,            0.011715,           0.0071014,            0.005545,            0.005545,            0.005545
                 137,            0.038912,            0.013473,           0.0038398,             0.71979,              0.6125,             0.67232,              0.3123,            0.035921,            0.012166,           0.0075256,            0.005512,            0.005512,            0.005512
                 138,             0.03732,            0.014256,            0.005438,             0.71245,             0.60323,             0.64559,             0.34294,            0.035855,            0.012208,           0.0081635,            0.005479,            0.005479,            0.005479
                 139,            0.041785,            0.012853,           0.0041025,              0.7521,             0.60802,             0.66399,             0.32403,            0.035844,            0.012201,           0.0078064,            0.005446,            0.005446,            0.005446
                 140,            0.042525,             0.01637,           0.0075078,             0.74692,              0.7099,             0.78084,             0.36586,             0.03252,            0.011282,           0.0079681,            0.005413,            0.005413,            0.005413
                 141,            0.036517,            0.013556,           0.0024357,             0.70202,             0.63242,              0.6834,             0.33563,             0.03696,            0.010867,           0.0076843,             0.00538,             0.00538,             0.00538
                 142,            0.035649,            0.013264,           0.0065209,             0.94797,              0.6625,             0.79872,             0.42607,            0.030075,              0.0105,           0.0076904,            0.005347,            0.005347,            0.005347
                 143,            0.043538,            0.015223,           0.0031283,             0.84268,             0.55433,             0.64572,             0.33005,            0.037781,            0.010605,           0.0072571,            0.005314,            0.005314,            0.005314
                 144,            0.045851,            0.014925,            0.005026,             0.90751,             0.61172,             0.77499,             0.39365,            0.030396,            0.010498,           0.0069794,            0.005281,            0.005281,            0.005281
                 145,            0.038706,            0.015892,           0.0042483,             0.82233,              0.6125,             0.76294,             0.41832,            0.031387,             0.01025,           0.0067688,            0.005248,            0.005248,            0.005248
                 146,            0.040084,            0.013948,           0.0072612,             0.89006,             0.65794,             0.79618,             0.45214,            0.025983,           0.0099647,           0.0067337,            0.005215,            0.005215,            0.005215
                 147,            0.040381,            0.015648,           0.0066317,             0.75229,              0.6637,              0.7644,             0.34706,            0.032261,             0.01003,            0.006839,            0.005182,            0.005182,            0.005182
                 148,            0.040902,            0.014462,           0.0046353,             0.96925,             0.61028,             0.78627,             0.38639,            0.028334,           0.0099144,           0.0065765,            0.005149,            0.005149,            0.005149
                 149,            0.036878,            0.015841,           0.0034851,             0.68588,               0.575,             0.69176,             0.38811,            0.030124,             0.01003,           0.0067795,            0.005116,            0.005116,            0.005116
                 150,            0.039988,            0.012753,           0.0064749,             0.82444,             0.73189,             0.84058,             0.39336,            0.028475,           0.0099699,            0.006813,            0.005083,            0.005083,            0.005083
